step,wp0_x,wp0_y,wp1_x,wp1_y,ego_speed,steer,throttle,brake
72,0.6576,0.0024,2.6203,0.0068,5.5905,0.0013,0.7500,0.0000
73,0.6570,0.0041,2.6230,0.0096,5.7141,0.0021,0.7500,0.0000
74,0.6588,0.0040,2.6207,0.0099,6.2904,0.0021,0.7500,0.0000
75,0.6556,0.0056,2.6224,0.0123,7.4565,0.0028,0.0000,0.0000
76,0.6549,0.0072,2.6243,0.0147,7.8377,-0.0001,0.0000,1.0000
77,0.6553,0.0049,2.6190,0.0100,7.7352,0.0002,0.0000,1.0000
78,0.6563,0.0046,2.6190,0.0095,7.3404,0.0027,0.0812,0.0000
79,0.6580,0.0042,2.6238,0.0074,7.0244,0.0019,0.0812,0.0000
80,0.6624,0.0035,2.6260,0.0062,6.6768,0.0017,0.7500,0.0000
81,0.6649,0.0023,2.6256,0.0041,5.9351,0.0013,0.7500,0.0000
82,0.6644,0.0018,2.6296,0.0013,5.5974,0.0009,0.7500,0.0000
83,0.6680,0.0010,2.6292,0.0002,5.4301,0.0007,0.7500,0.0000
84,0.6691,0.0006,2.6350,-0.0009,5.4200,0.0005,0.7500,0.0000
85,0.6741,-0.0004,2.6361,-0.0017,5.5623,0.0002,0.7500,0.0000
86,0.6485,0.0024,2.6045,0.0044,11.3280,0.0003,0.0000,1.0000
87,0.2776,0.0052,1.8561,0.0208,10.9598,0.0003,0.0000,1.0000
88,0.1890,0.0139,1.7264,0.0412,10.8308,0.0003,0.0000,1.0000
89,0.1728,0.0184,1.6961,0.0502,10.3711,0.0002,0.0000,1.0000
90,0.1548,0.0225,1.6515,0.0576,9.6839,0.0002,0.0000,1.0000
91,0.1455,0.0252,1.6177,0.0621,8.9233,0.0002,0.0000,1.0000
92,0.1342,0.0275,1.5853,0.0667,8.1670,0.0002,0.0000,1.0000
93,0.1327,0.0387,1.5917,0.0856,7.5356,0.0002,0.0000,1.0000
94,0.3184,0.0499,2.1350,0.1010,6.8143,0.0304,0.7500,0.0000
95,0.6455,0.0658,2.6082,0.1299,5.7814,0.0290,0.7500,0.0000
96,0.6324,0.0272,2.6130,0.0573,5.3793,0.0099,0.7500,0.0000
97,0.6622,0.0235,2.6443,0.0476,5.2513,0.0114,0.7500,0.0000
98,0.6320,0.0040,2.6344,0.0056,5.2335,0.0016,0.7500,0.0000
99,0.6822,0.0037,2.6620,0.0064,5.3315,0.0037,0.7500,0.0000
100,0.6640,0.0009,2.6567,0.0000,5.5628,0.0021,0.7500,0.0000
101,0.6860,0.0002,2.6655,0.0005,5.8215,0.0023,0.7500,0.0000
102,0.6832,0.0014,2.6569,0.0034,5.8753,0.0030,0.7500,0.0000
103,0.6921,-0.0006,2.6753,-0.0006,7.1351,0.0019,0.0000,0.0000
104,0.6968,-0.0006,2.6778,-0.0004,7.6783,0.0021,0.0609,0.0000
105,0.6980,-0.0008,2.6883,-0.0013,7.6904,0.0019,0.0546,0.0000
106,0.4441,0.0114,2.4086,0.0256,7.5429,0.0092,0.0546,0.0000
107,0.6532,0.0042,2.6238,0.0081,7.3116,0.0032,0.0546,0.0000
108,0.6714,0.0022,2.6405,0.0039,7.0398,0.0031,0.0546,0.0000
109,0.6528,0.0002,2.6187,-0.0021,6.7513,0.0020,0.7500,0.0000
110,0.6466,0.0001,2.6180,-0.0015,6.7307,0.0023,0.7500,0.0000
111,0.6492,-0.0002,2.6219,-0.0020,6.0684,0.0021,0.7500,0.0000
112,0.6573,-0.0015,2.6308,-0.0047,5.7469,0.0014,0.7500,0.0000
113,0.6384,-0.0013,2.6198,-0.0029,5.6465,0.0019,0.7500,0.0000
114,0.6555,-0.0020,2.6314,-0.0045,5.6621,0.0007,0.7500,0.0000
115,0.6401,-0.0016,2.6218,-0.0028,5.8087,0.0003,0.7500,0.0000
116,0.6535,-0.0019,2.6295,-0.0039,6.0482,-0.0004,0.7500,0.0000
117,0.6374,-0.0016,2.6180,-0.0025,6.0476,-0.0003,0.7500,0.0000
118,0.6542,-0.0021,2.6306,-0.0049,7.1982,-0.0009,0.0000,0.0000
119,0.6603,-0.0033,2.6328,-0.0078,7.7600,0.0001,0.0000,1.0000
120,0.6621,-0.0046,2.6313,-0.0105,7.6841,-0.0025,0.0687,0.0000
121,0.6565,-0.0026,2.6282,-0.0061,7.4479,-0.0010,0.0625,0.0000
122,0.6608,-0.0034,2.6292,-0.0082,7.1946,-0.0018,0.0562,0.0000
123,0.6617,-0.0041,2.6277,-0.0096,6.9134,-0.0021,0.5778,0.0000
124,0.6614,-0.0042,2.6282,-0.0096,6.6622,-0.0021,0.7500,0.0000
125,0.6622,-0.0015,2.6282,-0.0044,6.5723,-0.0008,0.7500,0.0000
126,0.6646,-0.0016,2.6291,-0.0044,6.6559,-0.0012,0.7500,0.0000
127,0.6659,-0.0029,2.6302,-0.0070,6.8797,-0.0020,0.5519,0.0000
128,0.6610,-0.0009,2.6302,-0.0025,7.1418,-0.0008,0.0000,0.0000
129,0.6653,-0.0018,2.6317,-0.0046,7.2627,-0.0015,0.0739,0.0000
130,0.6649,-0.0032,2.6295,-0.0077,7.1727,-0.0022,0.0677,0.0000
131,0.6634,-0.0012,2.6319,-0.0035,6.9832,-0.0010,0.1625,0.0000
132,0.6669,-0.0012,2.6320,-0.0035,6.7550,-0.0012,0.7500,0.0000
133,0.6647,-0.0011,2.6280,-0.0026,6.5680,-0.0010,0.7500,0.0000
134,0.6591,-0.0008,2.6245,-0.0015,6.5429,-0.0008,0.7500,0.0000
135,0.6538,-0.0012,2.6206,-0.0016,6.6810,-0.0010,0.7500,0.0000
136,0.6436,-0.0024,2.6417,-0.0032,6.9437,-0.0014,0.1447,0.0000
137,0.6270,-0.0032,2.6357,-0.0033,7.1724,-0.0015,0.7500,0.0000
138,0.6759,-0.0022,2.6584,-0.0044,7.2213,-0.0015,0.0000,0.0000
139,0.7134,-0.0061,2.4018,-0.0022,7.2752,-0.0002,0.0000,1.0000
140,0.6997,-0.0047,2.7290,-0.0150,7.0900,-0.0038,0.7500,0.0000
141,0.6483,-0.0015,2.6440,-0.0062,6.8303,-0.0013,0.7500,0.0000
142,0.6501,-0.0037,2.6293,-0.0102,6.7522,-0.0027,0.7500,0.0000
143,0.6806,-0.0018,2.6160,-0.0119,6.8459,-0.0024,0.7500,0.0000
144,0.6530,-0.0022,2.5613,-0.0109,7.0795,-0.0024,0.0000,0.0000
145,0.7109,-0.0047,2.2586,-0.0073,7.2855,-0.0001,0.0000,1.0000
146,0.6238,-0.0030,1.5170,-0.0071,7.1597,-0.0003,0.0000,1.0000
147,0.5641,-0.0018,1.3954,-0.0063,6.7512,-0.0003,0.0000,1.0000
148,0.4203,0.0016,0.9223,0.0019,5.6976,-0.0002,0.0000,1.0000
149,0.3733,0.0047,1.0228,0.0101,3.0664,-0.0002,0.0000,1.0000
150,0.2999,0.0033,0.8293,0.0098,0.5181,0.0031,0.7500,0.0000
151,0.2806,0.0003,0.8331,0.0047,0.0382,0.0004,0.7500,0.0000
152,0.2442,-0.0016,0.8492,0.0028,0.7134,-0.0002,0.7500,0.0000
153,0.1982,-0.0024,0.8805,0.0041,0.9684,0.0002,0.7500,0.0000
154,0.1731,-0.0040,0.9556,0.0082,1.3171,0.0008,0.7500,0.0000
155,0.1472,-0.0053,0.9540,0.0119,1.5035,0.0014,0.7500,0.0000
156,0.1308,-0.0046,1.0087,0.0180,1.7360,0.0032,0.7500,0.0000
157,0.1892,-0.0056,1.0456,-0.0130,2.0344,-0.0056,0.7500,0.0000
158,0.1566,-0.0061,0.9553,-0.0089,2.3815,-0.0033,0.7500,0.0000
159,0.1748,-0.0053,1.0658,-0.0039,2.7698,-0.0018,0.7500,0.0000
160,0.2059,-0.0014,1.1682,0.0152,3.1980,0.0038,0.0000,0.0000
